rank,name,score
802,staunch,-2721.99
803,mkramlich,-2727.43
804,gruseom,-2741.21
805,pnathan,-2744.51
806,iamdave,-2744.65
807,walterbell,-2744.83
808,wyclif,-2746.25
809,prostoalex,-2748.38
810,TallGuyShort,-2752.84
811,wheels,-2762.45
812,nopassrecover,-2763.26
813,SwellJoe,-2765.06
814,danso,-2769.13
815,Mz,-2772.29
816,sophacles,-2775.07
817,weaksauce,-2777.02
818,petercooper,-2786.76
819,tracker1,-2791.71
820,statictype,-2793.4
821,sanderjd,-2795.16
822,nhangen,-2797.7
823,yan,-2800.09
824,snowwrestler,-2803.89
825,yters,-2810.1
826,dotBen,-2817.81
827,byoung2,-2820.54
828,ph0rque,-2823.82
829,wtallis,-2824.4
830,_pius,-2827.61
831,Mikeb85,-2828.74
832,bigiain,-2829.36
833,EGreg,-2829.59
834,jseliger,-2830.93
835,kyllo,-2833.0
836,dkokelley,-2836.19
837,snprbob86,-2840.49
838,mootothemax,-2841.11
839,gknoy,-2848.93
840,noodle,-2850.79
841,_delirium,-2855.41
842,kijin,-2864.81
843,exDM69,-2865.21
844,haberman,-2865.66
845,bradleyland,-2871.12
846,eksith,-2883.53
847,po,-2886.37
848,sachinag,-2887.13
849,evgen,-2890.78
850,unalone,-2903.8
851,rokhayakebe,-2907.29
852,jhancock,-2907.53
853,gyardley,-2911.23
854,neilk,-2913.48
855,ryanwaggoner,-2918.69
856,bootload,-2922.38
857,bunderbunder,-2922.42
858,loceng,-2924.9
859,girvo,-2927.65
860,vog,-2927.77
861,MikeCapone,-2932.17
862,rogerbinns,-2936.22
863,cubicle67,-2960.45
864,Swizec,-2962.99
865,crazygringo,-2968.93
866,epi0Bauqu,-2969.28
867,dkersten,-2978.38
868,ilaksh,-2982.08
869,zaroth,-3003.82
870,Jach,-3005.14
871,graeme,-3013.45
872,cageface,-3023.75
873,mathattack,-3024.62
874,lambda,-3044.25
875,david927,-3049.05
876,chollida1,-3052.59
877,gtani,-3055.29
878,davidw,-3065.8
879,nostrademons,-3066.9
880,whatusername,-3071.58
881,mbesto,-3077.24
882,bdfh42,-3087.02
883,orangethirty,-3089.15
884,jimbokun,-3105.1
885,Samuel_Michon,-3110.01
886,csomar,-3110.59
887,icey,-3115.94
888,mortenjorck,-3117.37
889,mbrubeck,-3125.2
890,bmelton,-3126.58
891,bane,-3128.1
892,brk,-3128.55
893,hkmurakami,-3130.4
894,notahacker,-3134.51
895,at-fates-hands,-3136.38
896,JacobAldridge,-3151.58
897,duck,-3156.23
898,azakai,-3159.8
899,smoyer,-3192.73
900,encoderer,-3218.32
901,raganwald,-3224.42
902,jakejake,-3236.13
903,contingencies,-3241.37
904,stanleydrew,-3243.91
905,revorad,-3245.62
906,SkyMarshal,-3265.46
907,Jun8,-3267.91
908,keithpeter,-3271.26
909,pron,-3278.4
910,lifeisstillgood,-3281.73
911,taeric,-3283.59
912,daleharvey,-3286.84
913,mjn,-3291.19
914,jackowayed,-3306.33
915,yeukhon,-3306.39
916,GFischer,-3309.72
917,e12e,-3324.69
918,mixmax,-3329.04
919,randomdata,-3330.93
920,kibwen,-3333.16
921,DigitalSea,-3346.88
922,tinco,-3352.05
923,pedalpete,-3362.6
924,iuguy,-3371.49
925,elblanco,-3402.26
926,mhd,-3409.94
927,ghaff,-3424.34
928,kyro,-3424.39
929,onion2k,-3434.4
930,edw519,-3443.16
931,6ren,-3444.46
932,robomartin,-3450.93
933,erikb,-3455.38
934,RyanZAG,-3459.67
935,tjr,-3468.94
936,tluyben2,-3481.43
937,PStamatiou,-3511.17
938,zem,-3513.06
939,silentbicycle,-3563.15
940,pavlov,-3563.85
941,neilc,-3564.29
942,jasonlbaptiste,-3575.69
943,DaniFong,-3596.29
944,teej,-3609.08
945,danilocampos,-3616.18
946,bergie,-3616.3
947,paraschopra,-3625.88
948,lsc,-3630.28
949,nilkn,-3638.77
950,DanielBMarkham,-3651.23
951,ghshephard,-3665.46
952,ChuckMcM,-3668.25
953,mtrimpe,-3670.57
954,pchristensen,-3671.51
955,chime,-3680.02
956,jmathai,-3698.59
957,marcamillion,-3714.18
958,BrandonM,-3724.47
959,jasonkester,-3736.42
960,Timothee,-3764.88
961,calinet6,-3766.41
962,thibaut_barrere,-3777.19
963,alain94040,-3779.16
964,ggchappell,-3783.61
965,robryan,-3807.52
966,city41,-3809.72
967,edanm,-3815.23
968,cousin_it,-3821.41
969,kls,-3856.68
970,Xichekolas,-3860.81
971,malandrew,-3866.44
972,plinkplonk,-3886.6
973,Silhouette,-3904.54
974,jdp23,-3911.68
975,tel,-3914.42
976,patio11,-3938.29
977,mindcrime,-3941.54
978,grey-area,-3942.43
979,chipsy,-3970.05
980,tokenadult,-3971.27
981,antirez,-3989.95
982,larrys,-3999.63
983,zach,-4050.28
984,jonnathanson,-4070.76
985,yason,-4084.08
986,geebee,-4107.6
987,10ren,-4157.48
988,yesimahuman,-4204.35
989,lionhearted,-4231.42
990,iamelgringo,-4342.05
991,vlad,-4384.59
992,webwright,-4414.01
993,wallflower,-4465.94
994,brandnewlow,-4514.56
995,nkurz,-4819.5
996,programminggeek,-5201.36
997,mark_l_watson,-5301.45
998,tikhonj,-5360.85
999,nickpsecurity,-5889.09
